ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
210608_s_at	3.29e-01	2.35e-01	1.20157	-6.057979	0.417796	FUT2	fucosyltransferase 2
217752_s_at	3.30e-01	2.36e-01	1.201219	-6.058391	0.2487196	CNDP2	CNDP dipeptidase 2 (metallopeptidase M20 family)
211207_s_at	3.30e-01	2.36e-01	1.201046	-6.058594	0.4239852	ACSL6	acyl-CoA synthetase long-chain family member 6
222501_s_at	3.30e-01	2.36e-01	1.200736	-6.058958	0.3152644	REPIN1	replication initiator 1
242982_x_at	3.30e-01	2.36e-01	-1.200666	-6.059041	-0.4200151	ITGB8	integrin subunit beta 8
1560112_at	3.30e-01	2.36e-01	1.200653	-6.059056	0.2478161	WDFY2	WD repeat and FYVE domain containing 2
1566551_at	3.30e-01	2.36e-01	-1.200547	-6.059181	-0.3228695		
1569345_at	3.30e-01	2.36e-01	-1.200235	-6.059547	-0.1056978		
225405_at	3.30e-01	2.36e-01	-1.200179	-6.059613	-0.1909335	HNRNPUL2	heterogeneous nuclear ribonucleoprotein U like 2
1557228_at	3.30e-01	2.36e-01	-1.200146	-6.059651	-0.1080953	EHBP1L1	EH domain binding protein 1 like 1
204085_s_at	3.30e-01	2.36e-01	-1.19998	-6.059847	-0.4122425	CLN5	ceroid-lipofuscinosis, neuronal 5
215592_at	3.30e-01	2.36e-01	1.19996	-6.05987	0.3950313		
213412_at	3.30e-01	2.36e-01	1.199551	-6.06035	0.4272499	TJP3	tight junction protein 3
1552801_at	3.30e-01	2.36e-01	1.199498	-6.060411	0.3658986	CAPN13	calpain 13
222093_s_at	3.31e-01	2.37e-01	1.198771	-6.061265	0.1222807	INO80B	INO80 complex subunit B
236158_at	3.31e-01	2.37e-01	1.198542	-6.061533	0.235928		
241763_s_at	3.31e-01	2.37e-01	1.197945	-6.062232	0.8787673	FBXO32	F-box protein 32
230689_at	3.31e-01	2.37e-01	1.197689	-6.062532	0.1603715		
202167_s_at	3.31e-01	2.37e-01	-1.197485	-6.062772	-0.1828717	MMS19	MMS19 homolog, cytosolic iron-sulfur assembly component
55872_at	3.31e-01	2.37e-01	1.197202	-6.063103	0.2902395	ZNF512B	zinc finger protein 512B
204577_s_at	3.31e-01	2.37e-01	1.197109	-6.063212	0.2613145	CLUAP1	clusterin associated protein 1
203671_at	3.32e-01	2.37e-01	1.196978	-6.063365	0.18454	TPMT	thiopurine S-methyltransferase
218957_s_at	3.32e-01	2.37e-01	1.196904	-6.063452	0.2521134	PAAF1	proteasomal ATPase associated factor 1
219773_at	3.32e-01	2.37e-01	1.19676	-6.063621	0.6126139	NOX4	NADPH oxidase 4
209943_at	3.32e-01	2.37e-01	1.196299	-6.06416	0.3240401	FBXL4	F-box and leucine rich repeat protein 4
209792_s_at	3.32e-01	2.38e-01	1.196103	-6.06439	0.9745823	KLK10	kallikrein related peptidase 10
